team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-04,2014_07_04_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,4,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,0,0,0,0,0,0,1,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-06,2014_07_06_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-07,2014_07_07_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,0,0,0,0,0,0,1,0,1,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-09,2014_07_09_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-10,2014_07_10_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,2,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-11,2014_07_11_pitmlb_cinmlb_1,F,0,0,0,0,0,0,1,0,2,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-12,2014_07_12_pitmlb_cinmlb_1,F,0,0,0,0,0,0,2,0,3,0,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-02,2014_07_02_kcamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-03,2014_07_03_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,2,5,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-04,2014_07_04_nyamlb_minmlb_1,F,0,0,0,0,0,0,1,0,1,6,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-05,2014_07_05_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-06,2014_07_06_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,7,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-07,2014_07_07_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,1,4,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-08,2014_07_08_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,0,3,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-09,2014_07_09_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,2,6,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-10,2014_07_10_minmlb_seamlb_1,F,0,0,0,0,0,0,0,1,1,1,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-11,2014_07_11_minmlb_colmlb_1,F,0,0,0,0,0,0,0,0,2,3,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-12,2014_07_12_minmlb_colmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-01,2014_07_01_milmlb_tormlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-02,2014_07_02_milmlb_tormlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-04,2014_07_04_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-05,2014_07_05_milmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-07,2014_07_07_phimlb_milmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-10,2014_07_10_phimlb_milmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-11,2014_07_11_slnmlb_milmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-12,2014_07_12_slnmlb_milmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-01,2014_07_01_anamlb_chamlb_1,F,0,0,0,0,0,0,0,0,0,4,1
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-01,2014_07_01_anamlb_chamlb_2,F,0,0,0,0,0,0,0,0,2,3,1
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-02,2014_07_02_anamlb_chamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-03,2014_07_03_houmlb_anamlb_1,F,0,0,0,0,0,0,0,0,2,1,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-04,2014_07_04_houmlb_anamlb_1,F,0,0,0,0,0,0,0,0,4,1,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-05,2014_07_05_houmlb_anamlb_1,F,0,0,0,0,0,0,0,0,2,1,1
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-06,2014_07_06_houmlb_anamlb_1,F,0,0,0,0,0,0,0,0,0,2,1
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-07,2014_07_07_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,3,3,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-08,2014_07_08_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,1,6,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-09,2014_07_09_tormlb_anamlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-10,2014_07_10_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-11,2014_07_11_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Howie,Kendrick,435062,2014-07-12,2014_07_12_anamlb_texmlb_1,F,0,0,0,0,0,0,0,0,3,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,1
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-04,2014_07_04_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,1
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-06,2014_07_06_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-07,2014_07_07_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Starling,Marte,516782,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-01,2014_07_01_tbamlb_nyamlb_1,F,0,0,0,0,0,0,0,0,2,3,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-02,2014_07_02_tbamlb_nyamlb_1,F,0,0,0,0,0,0,0,0,0,1,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-03,2014_07_03_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-04,2014_07_04_tbamlb_detmlb_1,F,0,0,0,0,0,0,1,0,2,4,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-05,2014_07_05_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,1,1,2,2
Pierzinskis Misspelled D-Bags,Evan,Longoria,446334,2014-07-06,2014_07_06_tbamlb_detmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
