bref_id,mlb_depth,debut,espn_id,cbs_name,mlb_name,bref_name,bats,lahman_id,retro_id,espn_pos,nfbc_id,yahoo_name,espn_name,yahoo_pos,nfbc_name,birth_year,mlb_id,fg_name,retro_name,wb_years,cbs_id,yahoo_id,mlb_team,bp_id,cbs_pos,nfbc_pos,mlb_team_long,fg_id,throws,mlb_pos
achteaj01,,9/3/2014,33637,A.J. Achter,A.J. Achter,A.J. Achter,R,achteaj01,achta001,RP,9824,A.J. Achter,A.J. Achter,RP,A.J. Achter,1988,592091,A.J. Achter,A.J. Achter,0.076,2146207,9824,LAA,66919,RP,P,Los Angeles Angels,11387,R,P
burnea.01,,8/17/1999,4153,A.J. Burnett,A.J. Burnett,A.J. Burnett,R,burneaj01,burna001,SP,6314,A.J. Burnett,A.J. Burnett,SP,A.J. Burnett,1977,150359,A.J. Burnett,A.J. Burnett,-1,21508,6314,PIT,493,SP,P,Pittsburgh Pirates,512,R,P
coleaj01,RP10,4/28/2015,31595,A.J. Cole,A.J. Cole,A.J. Cole,R,,colea002,RP,9638,A.J. Cole,A.J. Cole,RP/SP,A.J. Cole,1992,595918,A.J. Cole,A.J. Cole,0.047,1839916,9638,WSH,68086,RP,P,Washington Nationals,11467,R,P
ellisaj01,C2,9/15/2008,29258,A.J. Ellis,A.J. Ellis,A.J. Ellis,R,ellisaj01,ellia001,C,8373,A.J. Ellis,A.J. Ellis,C,A.J. Ellis,1981,454560,A.J. Ellis,A.J. Ellis,5.151,1104367,8373,LAD,47564,C,C,Los Angeles Dodgers,5677,R,C
griffaj01,,6/24/2012,32559,A.J. Griffin,A.J. Griffin,A.J. Griffin,R,griffaj01,grifa002,SP,9220,A.J. Griffin,A.J. Griffin,SP,A.J. Griffin,1988,456167,A.J. Griffin,A.J. Griffin,3.0,1974327,9220,OAK,65757,SP,P,Oakland Athletics,11132,R,P
,,,31050,A.J. Jimenez,A.J. Jimenez,,R,,,C,,,A.J. Jimenez,,,1990,543362,A.J. Jimenez,,0,1798970,,TOR,58320,C,,Toronto Blue Jays,sa454887,R,C
pierza.01,C1,9/9/1998,3948,A.J. Pierzynski,A.J. Pierzynski,A.J. Pierzynski,L,pierzaj01,piera001,C,6109,A.J. Pierzynski,A.J. Pierzynski,C,A.J. Pierzynski,1976,150229,A.J. Pierzynski,A.J. Pierzynski,15.1,18720,6109,ATL,1501,C,C,Atlanta Braves,746,R,C
polloaj01,CF1,4/18/2012,30699,A.J. Pollock,A.J. Pollock,A.J. Pollock,R,polloaj01,polla001,CF,9157,A.J. Pollock,A.J. Pollock,CF,A.J. Pollock,1987,572041,A.J. Pollock,A.J. Pollock,3.052,1740992,9157,ARI,60932,CF,CF,Arizona Diamondbacks,9256,R,CF
ramosaj01,RP1,9/4/2012,32104,A.J. Ramos,A.J. Ramos,A.J. Ramos,R,ramosaj01,ramoa001,RP,9298,A.J. Ramos,A.J. Ramos,RP,A.J. Ramos,1986,573109,A.J. Ramos,A.J. Ramos,3.03,1945284,9298,MIA,60504,RP,P,Miami Marlins,8350,R,P
schugaj01,,4/12/2015,32202,A.J. Schugel,A.J. Schugel,A.J. Schugel,R,,schua001,SP,9927,A.J. Schugel,A.J. Schugel,RP,A.J. Schugel,1989,519263,Andrew Schugel,A.J. Schugel,0.04,1953535,9927,PIT,65910,SP,P,Pittsburgh Pirates,11432,R,P
altheaa01,LF1,6/16/2014,31738,Aaron Altherr,Aaron Altherr,Aaron Altherr,R,altheaa01,altha001,LF,9734,Aaron Altherr,Aaron Altherr,LF,Aaron Altherr,1991,571437,Aaron Altherr,Aaron Altherr,0.054,2107840,9734,PHI,59584,LF,LF,Philadelphia Phillies,11270,R,CF
barreaa01,RP2,3/31/2014,33005,Aaron Barrett,Aaron Barrett,Aaron Barrett,R,barreaa01,barra001,RP,9650,Aaron Barrett,Aaron Barrett,RP,Aaron Barrett,1988,502578,Aaron Barrett,Aaron Barrett,1.144,2052550,9650,WSH,65829,RP,P,Washington Nationals,11243,R,P
brookaa01,,5/3/2014,33124,Aaron Brooks,Aaron Brooks,Aaron Brooks,R,brookaa01,brooa001,SP,9668,Aarón Brooks,Aaron Brooks,RP,Aaron Brooks,1990,605156,Aaron Brooks,Aaron Brooks,0.07,2113510,9668,CHC,69523,SP,P,Chicago Cubs,12272,R,P
