team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-01,2014_07_01_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-03,2014_07_03_arimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-04,2014_07_04_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,1,4,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,0,0,0,0,0,0,1,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-06,2014_07_06_phimlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-07,2014_07_07_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,0,0,0,0,0,0,1,0,1,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-09,2014_07_09_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-10,2014_07_10_pitmlb_slnmlb_1,F,0,0,0,0,0,0,0,2,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-11,2014_07_11_pitmlb_cinmlb_1,F,0,0,0,0,0,0,1,0,2,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-12,2014_07_12_pitmlb_cinmlb_1,F,0,0,0,0,0,0,2,0,3,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-13,2014_07_13_pitmlb_cinmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-18,2014_07_18_colmlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-19,2014_07_19_colmlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-20,2014_07_20_colmlb_pitmlb_1,F,0,0,0,0,0,0,0,1,1,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-21,2014_07_21_lanmlb_pitmlb_1,F,0,0,0,0,0,0,0,0,2,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-22,2014_07_22_lanmlb_pitmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-23,2014_07_23_lanmlb_pitmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-25,2014_07_25_pitmlb_colmlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-26,2014_07_26_pitmlb_colmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-27,2014_07_27_pitmlb_colmlb_1,F,0,0,0,0,0,0,0,0,0,0,2
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-28,2014_07_28_pitmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,0,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-29,2014_07_29_pitmlb_sfnmlb_1,F,0,0,0,0,0,0,0,1,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-30,2014_07_30_pitmlb_sfnmlb_1,F,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-07-31,2014_07_31_pitmlb_arimlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-08-01,2014_08_01_pitmlb_arimlb_1,F,0,0,0,0,0,0,0,0,2,0,1
Pierzinskis Misspelled D-Bags,Andrew,McCutchen,457705,2014-08-02,2014_08_02_pitmlb_arimlb_1,F,0,0,0,0,0,0,0,0,2,0,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-02,2014_07_02_kcamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,4,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-03,2014_07_03_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,2,5,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-04,2014_07_04_nyamlb_minmlb_1,F,0,0,0,0,0,0,1,0,1,6,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-05,2014_07_05_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,5,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-06,2014_07_06_nyamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,7,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-07,2014_07_07_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,1,4,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-08,2014_07_08_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,0,3,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-09,2014_07_09_minmlb_seamlb_1,F,0,0,0,0,0,0,0,0,2,6,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-10,2014_07_10_minmlb_seamlb_1,F,0,0,0,0,0,0,0,1,1,1,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-11,2014_07_11_minmlb_colmlb_1,F,0,0,0,0,0,0,0,0,2,3,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-12,2014_07_12_minmlb_colmlb_1,F,0,0,0,0,0,0,0,0,1,2,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-13,2014_07_13_minmlb_colmlb_1,F,0,0,0,0,0,0,2,0,3,4,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-18,2014_07_18_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,9,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-19,2014_07_19_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,6,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-20,2014_07_20_tbamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-21,2014_07_21_clemlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-22,2014_07_22_clemlb_minmlb_1,F,0,0,0,0,0,0,1,0,3,1,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-23,2014_07_23_clemlb_minmlb_1,F,0,0,0,0,0,0,0,0,1,3,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-24,2014_07_24_chamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-25,2014_07_25_chamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,2,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-26,2014_07_26_chamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,3,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-27,2014_07_27_chamlb_minmlb_1,F,0,0,0,0,0,0,0,0,0,1,0
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-29,2014_07_29_minmlb_kcamlb_1,F,0,0,0,0,0,0,0,0,2,1,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-07-30,2014_07_30_minmlb_kcamlb_1,F,0,0,0,0,0,0,0,1,1,2,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-08-01,2014_08_01_minmlb_chamlb_1,F,0,0,0,0,0,0,0,0,3,4,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-08-02,2014_08_02_minmlb_chamlb_1,F,0,0,0,0,0,0,0,0,1,2,1
Pierzinskis Misspelled D-Bags,Brian,Dozier,572821,2014-08-03,2014_08_03_minmlb_chamlb_1,P,0,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-01,2014_07_01_milmlb_tormlb_1,F,0,0,0,0,0,0,0,0,1,0,0
Pierzinskis Misspelled D-Bags,Ryan,Braun,460075,2014-07-02,2014_07_02_milmlb_tormlb_1,F,0,0,0,0,0,0,0,0,2,0,0
