venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
AT&T Park,2395,0,0,15,41507,59,184,May 1, 2015,
Dodger Stadium,22,3,0,10,50164,73,167,May 1, 2015,
Target Field,3312,0,0,14,22794,66,152,May 1, 2015,
Turner Field,16,1,0,14,30153,66,156,May 1, 2015,
Petco Park,2680,2,0,12,30186,70,206,May 1, 2015,
Kauffman Stadium,7,0,0,15,38186,72,167,May 1, 2015,
Wrigley Field,17,1,0,14,31128,48,159,May 1, 2015,
Fenway Park,3,2,0,21,35444,44,194,May 1, 2015,
Globe Life Park in Arlington,13,3,1,11,29700,78,191,May 1, 2015,
Marlins Park,4169,1,1,16,18511,81,177,May 1, 2015,
Busch Stadium,2889,0,0,15,40912,70,211,May 1, 2015,
Minute Maid Park,2392,5,1,9,21834,81,170,May 1, 2015,
Tropicana Field,12,0,0,7,9945,72,139,May 1, 2015,
Progressive Field,5,4,1,14,15088,55,157,May 1, 2015,
Citi Field,3289,1,0,11,33178,53,149,May 1, 2015,
AT&T Park,2395,4,0,10,41287,64,156,May 2, 2015,
Dodger Stadium,22,4,0,12,43617,73,194,May 2, 2015,
Target Field,3312,2,0,13,30551,74,185,May 2, 2015,
Turner Field,16,4,2,10,29515,74,154,May 2, 2015,
Petco Park,2680,1,0,14,28058,68,177,May 2, 2015,
Kauffman Stadium,7,1,0,10,38692,74,175,May 2, 2015,
Wrigley Field,17,2,1,13,34878,73,185,May 2, 2015,
Fenway Park,3,2,0,11,36611,46,164,May 2, 2015,
Globe Life Park in Arlington,13,3,0,17,32207,80,225,May 2, 2015,
Marlins Park,4169,1,0,15,33348,71,158,May 2, 2015,
Busch Stadium,2889,0,0,22,45095,75,207,May 2, 2015,
Minute Maid Park,2392,9,0,10,24435,79,158,May 2, 2015,
Tropicana Field,12,1,0,11,12789,72,153,May 2, 2015,
Progressive Field,5,1,0,16,18008,61,203,May 2, 2015,
Citi Field,3289,0,0,15,39730,53,151,May 2, 2015,
AT&T Park,2395,2,1,12,41516,59,136,May 3, 2015,
