team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
ari,2015/06/01/atlmlb-arimlb-1,1,7,2,0,0,9,0,1,0,1,1,8,0,7,0,0,No-Talent Ass Clowns,Dr. Watson,
atl,2015/06/01/atlmlb-arimlb-1,8,13,3,0,1,19,3,1,1,0,1,1,1,5,0,0,Damnedest of the Nice,Damnedest of the Nice,
hou,2015/06/01/balmlb-houmlb-1,5,9,1,0,1,13,4,1,0,1,1,2,0,8,1,1,Portlandia Misfits,Paly Players,
bal,2015/06/01/balmlb-houmlb-1,2,7,1,1,0,10,2,0,0,0,0,5,1,10,0,0,Damnedest of the Nice,,
mia,2015/06/01/chnmlb-miamlb-1,1,6,1,0,0,7,1,1,0,0,0,5,1,7,0,0,The Rube,Buena Vista Bottoms,
chn,2015/06/01/chnmlb-miamlb-1,5,8,2,0,1,13,4,0,0,0,0,1,1,13,0,1,Detroit Noojies (aka dbags),Portlandia Misfits,
col,2015/06/01/lanmlb-colmlb-1,4,9,0,0,1,12,1,0,0,0,0,11,0,6,0,0,Portlandia Misfits,,
lan,2015/06/01/lanmlb-colmlb-1,11,18,3,1,4,35,5,0,0,0,0,4,1,10,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/01/milmlb-slnmlb-1,0,8,0,0,0,8,3,1,0,0,0,1,1,4,0,0,Paly Players,No-Talent Ass Clowns,
mil,2015/06/01/milmlb-slnmlb-1,1,6,0,0,0,6,0,0,0,0,0,0,1,11,1,3,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
sea,2015/06/01/nyamlb-seamlb-1,2,8,1,1,0,11,2,0,0,0,0,7,0,8,0,0,,The Rube,
nya,2015/06/01/nyamlb-seamlb-1,7,7,1,0,1,11,5,0,0,1,1,2,1,13,0,0,,Portlandia Misfits,
sdn,2015/06/01/nynmlb-sdnmlb-1,0,2,0,0,0,2,0,0,0,0,0,7,0,16,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/01/nynmlb-sdnmlb-1,7,13,3,1,1,21,1,1,0,0,0,0,1,9,0,0,,Dr. Watson,
sfn,2015/06/01/pitmlb-sfnmlb-1,3,6,2,0,0,8,2,1,0,0,0,4,1,7,0,0,Portlandia Misfits,Portlandia Misfits,
pit,2015/06/01/pitmlb-sfnmlb-1,4,6,4,0,0,10,2,0,0,2,2,3,1,10,1,1,Paly Players,The Rube,
ana,2015/06/01/tbamlb-anamlb-1,7,11,0,0,4,23,5,1,1,0,1,3,1,6,0,3,,No-Talent Ass Clowns,
tba,2015/06/01/tbamlb-anamlb-1,3,6,1,0,1,10,3,0,0,0,0,7,0,6,0,0,Dr. Watson,Damnedest of the Nice,
was,2015/06/01/tormlb-wasmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/01/tormlb-wasmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buena Vista Bottoms,,
ari,2015/06/02/atlmlb-arimlb-1,7,9,1,0,1,13,10,2,1,0,1,6,0,5,1,1,No-Talent Ass Clowns,Dr. Watson,
atl,2015/06/02/atlmlb-arimlb-1,6,10,4,0,0,14,2,1,0,0,0,7,0,4,0,1,Damnedest of the Nice,Damnedest of the Nice,
hou,2015/06/02/balmlb-houmlb-1,6,9,1,0,2,16,3,0,0,0,0,4,0,9,1,1,Portlandia Misfits,Paly Players,
bal,2015/06/02/balmlb-houmlb-1,4,7,0,1,0,9,2,0,0,0,0,6,0,9,0,0,Damnedest of the Nice,,
tex,2015/06/02/chamlb-texmlb-1,15,19,1,1,3,31,4,0,0,0,0,2,1,6,0,0,Damnedest of the Nice,Paly Players,
cha,2015/06/02/chamlb-texmlb-1,2,7,0,0,1,10,0,1,0,0,0,15,0,5,0,0,,No-Talent Ass Clowns,
mia,2015/06/02/chnmlb-miamlb-1,5,8,2,0,1,13,2,0,0,0,0,2,1,7,1,2,The Rube,Buena Vista Bottoms,
chn,2015/06/02/chnmlb-miamlb-1,2,8,4,0,0,12,3,0,0,0,0,5,0,7,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
phi,2015/06/02/cinmlb-phimlb-1,5,9,4,0,2,19,0,0,1,0,1,4,0,5,0,0,,,
cin,2015/06/02/cinmlb-phimlb-1,4,10,4,0,0,14,2,1,2,0,2,5,1,5,0,1,Detroit Noojies (aka dbags),The Rube,
kca,2015/06/02/clemlb-kcamlb-1,1,5,1,0,0,6,2,0,0,0,0,2,0,4,0,0,Paly Players,Paly Players,
cle,2015/06/02/clemlb-kcamlb-1,2,6,2,0,1,11,3,1,0,0,0,1,1,12,1,3,Dr. Watson,Detroit Noojies (aka dbags),
